stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
17th week post-fertilization stage,airway_top,18,NCKAP5,2.0185515880584717,0.02484180368699159,biological,True,2
17th week post-fertilization stage,airway_top,19,GDF15,2.4307615756988525,0.02484180368699159,biological,True,1
17th week post-fertilization stage,airway_top,20,PTPRD,1.0557031631469727,0.04079626508959289,biological,True,1
17th week post-fertilization stage,alveolar_top,1,SOX9,10.690695762634277,0.0,biological,True,5
17th week post-fertilization stage,alveolar_top,2,SFTPC,2.140275239944458,1.2625618677891494e-73,biological,True,5
17th week post-fertilization stage,alveolar_top,3,DLG2,1.649833083152771,2.0414148175759418e-41,biological,True,4
17th week post-fertilization stage,alveolar_top,4,ETV5,1.5188915729522705,7.4740411034798565e-34,biological,True,5
17th week post-fertilization stage,alveolar_top,5,PIK3C2G,1.629396915435791,1.7644286892402666e-31,biological,True,4
17th week post-fertilization stage,alveolar_top,6,NPC2,1.4292848110198975,1.1142442074389244e-30,biological,True,4
17th week post-fertilization stage,alveolar_top,7,ATP11A,1.2714120149612427,2.2930782951912337e-26,biological,True,5
17th week post-fertilization stage,alveolar_top,8,PTPN13,1.371693730354309,3.884082343062532e-25,biological,True,4
17th week post-fertilization stage,alveolar_top,9,SEL1L3,1.2885371446609497,2.491914703148102e-22,biological,True,5
17th week post-fertilization stage,alveolar_top,10,SLC4A4,1.256354808807373,7.607304055388404e-20,biological,True,4
17th week post-fertilization stage,alveolar_top,11,ZNRF3,1.222442865371704,6.04628948214246e-19,biological,True,1
17th week post-fertilization stage,alveolar_top,12,SLC34A2,1.1758219003677368,1.0159347772155796e-18,biological,True,5
17th week post-fertilization stage,alveolar_top,13,TMEM245,1.2682501077651978,2.062892107728528e-18,biological,True,1
17th week post-fertilization stage,alveolar_top,14,CD36,1.193258285522461,2.45481211996472e-17,biological,True,1
17th week post-fertilization stage,alveolar_top,15,ITGA2,1.4358937740325928,4.2007635378587924e-17,biological,True,1
17th week post-fertilization stage,alveolar_top,16,TPPP3,1.4317694902420044,1.1887024520567904e-16,biological,True,4
17th week post-fertilization stage,alveolar_top,17,TRIM24,1.31040620803833,1.7801283579638083e-16,biological,True,1
17th week post-fertilization stage,alveolar_top,18,PTPRD,1.0832055807113647,3.591731331465474e-16,biological,True,1
17th week post-fertilization stage,alveolar_top,19,PSD3,1.2060171365737915,6.520078949495271e-16,biological,True,2
17th week post-fertilization stage,alveolar_top,20,RPS21,1.0327370166778564,2.525903333311308e-15,ribosomal,False,0
