cell_id,development_stage,cell_type,donor_id,assay,distal_tip_score,airway_score,alveolar_score,commitment_score,substrate,in_exiting_tip
14191,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.38552545041454084,0.9193497371673583,-0.2551407770279351,1.1744905141952935,cao2020,True
14194,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.2987811468085464,1.241277863184611,0.4462529169310124,0.7950249462535988,cao2020,False
14199,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.41515319201411033,0.817013882001241,0.9679763732700173,-0.15096249126877626,cao2020,True
14200,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.304988685919314,-0.14920093536376952,-0.279234317464566,0.13003338210079649,cao2020,True
14206,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.13585293049715003,-0.0998166020711263,0.5881311226328578,-0.6879477247039841,cao2020,False
14207,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.9255767355159837,-0.27417943318684895,0.9585931246433783,-1.2327725578302273,cao2020,True
14208,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.28865179723622847,-0.139696044921875,-0.2646535820917252,0.12495753716985017,cao2020,True
14209,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,1.1151871973154495,0.44146911621093754,1.3037489663570299,-0.8622798501460923,cao2020,False
14210,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.0752375417826127,-0.07826972961425781,1.0167463132000845,-1.0950160428143423,cao2020,False
14212,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.0,0.0,2.0030248580722634,-2.0030248580722634,cao2020,False
14221,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.14265131463809888,-0.11649857838948567,-0.3268571206189077,0.21035854222942202,cao2020,False
14223,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.3249074196328922,-0.1061364237467448,0.8849957809535736,-0.9911322047003184,cao2020,True
14225,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.20837879180908203,-0.14065001169840494,1.9400667575521207,-2.0807167692505257,cao2020,True
