substrate,view,stage,airway_bin,alveolar_bin,n_cells,fraction_of_view
he2022,all_epithelial,22nd week post-fertilization stage,2,1,17,0.01565377532228361
he2022,all_epithelial,22nd week post-fertilization stage,2,2,3,0.0027624309392265192
he2022,all_epithelial,22nd week post-fertilization stage,2,3,12,0.011049723756906077
he2022,all_epithelial,22nd week post-fertilization stage,2,4,59,0.05432780847145488
he2022,all_epithelial,22nd week post-fertilization stage,3,0,110,0.10128913443830571
he2022,all_epithelial,22nd week post-fertilization stage,3,1,156,0.143646408839779
he2022,all_epithelial,22nd week post-fertilization stage,3,2,31,0.0285451197053407
he2022,all_epithelial,22nd week post-fertilization stage,3,3,9,0.008287292817679558
he2022,all_epithelial,22nd week post-fertilization stage,3,4,4,0.003683241252302026
he2022,all_epithelial,22nd week post-fertilization stage,4,0,30,0.027624309392265192
he2022,all_epithelial,22nd week post-fertilization stage,4,1,65,0.05985267034990792
he2022,all_epithelial,22nd week post-fertilization stage,4,2,36,0.03314917127071823
he2022,all_epithelial,22nd week post-fertilization stage,4,3,76,0.06998158379373849
he2022,all_epithelial,22nd week post-fertilization stage,4,4,3,0.0027624309392265192
he2022,exiting_tip,22nd week post-fertilization stage,0,0,1,0.0010976948408342481
he2022,exiting_tip,22nd week post-fertilization stage,0,1,0,0.0
he2022,exiting_tip,22nd week post-fertilization stage,0,2,1,0.0010976948408342481
he2022,exiting_tip,22nd week post-fertilization stage,0,3,45,0.04939626783754116
he2022,exiting_tip,22nd week post-fertilization stage,0,4,160,0.1756311745334797
he2022,exiting_tip,22nd week post-fertilization stage,1,0,4,0.0043907793633369925
he2022,exiting_tip,22nd week post-fertilization stage,1,1,3,0.003293084522502744
he2022,exiting_tip,22nd week post-fertilization stage,1,2,6,0.006586169045005488
he2022,exiting_tip,22nd week post-fertilization stage,1,3,23,0.025246981339187707
he2022,exiting_tip,22nd week post-fertilization stage,1,4,76,0.08342480790340286
he2022,exiting_tip,22nd week post-fertilization stage,2,0,9,0.009879253567508232
he2022,exiting_tip,22nd week post-fertilization stage,2,1,17,0.018660812294182216
he2022,exiting_tip,22nd week post-fertilization stage,2,2,3,0.003293084522502744
he2022,exiting_tip,22nd week post-fertilization stage,2,3,12,0.013172338090010977
he2022,exiting_tip,22nd week post-fertilization stage,2,4,36,0.03951701427003293
he2022,exiting_tip,22nd week post-fertilization stage,3,0,110,0.1207464324917673
he2022,exiting_tip,22nd week post-fertilization stage,3,1,153,0.16794731064763996
he2022,exiting_tip,22nd week post-fertilization stage,3,2,30,0.03293084522502744
he2022,exiting_tip,22nd week post-fertilization stage,3,3,9,0.009879253567508232
he2022,exiting_tip,22nd week post-fertilization stage,3,4,3,0.003293084522502744
he2022,exiting_tip,22nd week post-fertilization stage,4,0,30,0.03293084522502744
he2022,exiting_tip,22nd week post-fertilization stage,4,1,65,0.07135016465422613
he2022,exiting_tip,22nd week post-fertilization stage,4,2,36,0.03951701427003293
he2022,exiting_tip,22nd week post-fertilization stage,4,3,76,0.08342480790340286
he2022,exiting_tip,22nd week post-fertilization stage,4,4,3,0.003293084522502744
cao2020,all_epithelial,15th week post-fertilization stage,0,0,464,0.05678619508016155
cao2020,all_epithelial,15th week post-fertilization stage,0,1,531,0.06498592583527107
cao2020,all_epithelial,15th week post-fertilization stage,0,2,239,0.02924978582792804
cao2020,all_epithelial,15th week post-fertilization stage,0,3,338,0.041365805898910785
cao2020,all_epithelial,15th week post-fertilization stage,0,4,182,0.02227389548402888
cao2020,all_epithelial,15th week post-fertilization stage,1,0,612,0.07489903316607514
cao2020,all_epithelial,15th week post-fertilization stage,1,1,463,0.05666381103904051
cao2020,all_epithelial,15th week post-fertilization stage,1,2,302,0.03695998041855342
cao2020,all_epithelial,15th week post-fertilization stage,1,3,280,0.03426753151389059
cao2020,all_epithelial,15th week post-fertilization stage,1,4,150,0.018357606168155672
cao2020,all_epithelial,15th week post-fertilization stage,2,0,604,0.07391996083710684
cao2020,all_epithelial,15th week post-fertilization stage,2,1,348,0.04258964631012116
cao2020,all_epithelial,15th week post-fertilization stage,2,2,357,0.0436911026802105
cao2020,all_epithelial,15th week post-fertilization stage,2,3,201,0.0245991922653286
cao2020,all_epithelial,15th week post-fertilization stage,2,4,144,0.017623301921429444
cao2020,all_epithelial,15th week post-fertilization stage,3,0,444,0.05433851425774079
cao2020,all_epithelial,15th week post-fertilization stage,3,1,281,0.03438991555501163
cao2020,all_epithelial,15th week post-fertilization stage,3,2,323,0.039530045282095215
cao2020,all_epithelial,15th week post-fertilization stage,3,3,169,0.020682902949455392
cao2020,all_epithelial,15th week post-fertilization stage,3,4,123,0.015053237057887652
cao2020,all_epithelial,15th week post-fertilization stage,4,0,505,0.061803940766124096
cao2020,all_epithelial,15th week post-fertilization stage,4,1,490,0.05996818014930853
cao2020,all_epithelial,15th week post-fertilization stage,4,2,335,0.04099865377554767
